Year,GDP
2000,9.993580322
2001,8.148386098
2002,6.578939503
2003,8.505895557
2004,10.34052878
2005,13.25008691
2006,10.77108367
2007,10.21257391
2008,6.691577475
2009,0.086696959
2010,5.963078575
2011,7.069569946
2012,7.313345505
2013,7.356665149
2014,7.142571101
2015,6.965797814
2016,6.933313973
2017,6.996903699
2018,7.469169207
2019,7.054102
2020,-3.095996
2021,3.026377
2022,5.012025
2023,5.818995
2024,6.213021
2025,6.378006
2026,5.013096
2027,5.362596
2028,5.415297
2029,5.529115
2030,5.613255
